symbol,entryTimestampUtc,closeTime,distanceFromEma200H1Pct,slPct,fvgGapSizePct,waitedCandlesCount,breaksKeyZone,atrH1Pct,hourOfDayUtc,dayOfWeekUtc,trendAgeH1Candles,atrPercentileH1,momentumM15Pct3Candles,keyZoneDistancePct,rollingWinRateSameSymbol20,concurrentOpenPositionsCount,won
HYPEUSDT,1750401000000,1750403700000,-8.408052094694153,0.5874993200239381,0.04623837240928007,15,false,2.1391550617038737,6,5,47,11,-1.3034777435231741,0.8268508948485069,0.5,0,true
HYPEUSDT,1750419900000,1750423500000,-5.707528475262444,0.7005820219874919,0.3395128260401077,1,true,2.0328553291192866,11,5,53,4,-1.73778205539516,0.11317094201336922,0.5,0,false
BTCUSDT,1750433400000,1750440600000,-1.5297808483148556,0.6603452012782886,0.363877322451074,2,false,0.5420449037039852,15,5,0,47,-1.4945656039382182,0.9613126752145071,0.6,1,true
ETHUSDT,1750432500000,1750440600000,-2.517491503869342,0.7237900569690288,0.2143823831176824,1,false,0.8225576145152605,15,5,82,18,-1.6910588374711302,0.12367141036752263,0.25,0,true
XRPUSDT,1750443300000,1750451400000,-2.9528846341511046,0.6998262176506463,0.051665022779582966,8,false,0.7878681778840206,18,5,75,32,-0.45405607826616307,5.4229178946045415,0.3,0,false
HYPEUSDT,1750458600000,1750460400000,-12.51858937076165,0.8754089663100099,0.6130810269107154,1,false,2.380462153093363,22,5,63,18,-1.7413662128206524,1.405468604159907,0.5,0,true
SOLUSDT,1750462200000,1750476600000,-6.464301465241657,0.5073602972702644,0.35729598399313994,5,false,1.2560678045045333,23,5,87,61,-0.47836641439384253,5.83247059072462,0.4,0,false
HYPEUSDT,1750516200000,1750519800000,-11.04943377018554,1.1729696934677687,0.6876029237569686,3,true,1.9370763598665162,14,6,79,4,-1.719993131475013,0.15697377671202217,0.55,0,true
XRPUSDT,1750533300000,1750536000000,-3.9849445470260676,0.5300859598854026,0.3533906399235947,1,false,0.6606745160179742,19,6,100,30,-0.9140245644101735,7.069760473434752,0.3,1,true
SOLUSDT,1750533300000,1750541400000,-6.44854480939116,0.7579585649317919,0.27430881397530893,1,false,1.0628690020522893,19,6,107,45,-0.9712230215827298,4.891215552571461,0.4,0,true
ETHUSDT,1750553100000,1750557600000,-8.624524931590058,0.5780069448079708,0.06761590675112905,8,false,1.6769342023220692,0,0,116,100,0.002192645865774197,4.657714047852648,0.25,0,true
SOLUSDT,1750556700000,1750558500000,-7.7800277052953755,0.6756260556657238,0.19093779834030325,1,false,1.6301617126179981,1,0,114,100,-0.5490483162518301,8.746753076628972,0.45,0,true
HYPEUSDT,1750581000000,1750584600000,-9.619648260019266,0.5651371848554884,0.014640859711289735,5,false,2.693374476376117,8,0,97,76,-1.0180929664320246,1.1937180951265378,0.55,0,true
SOLUSDT,1750590900000,1750593600000,-8.402097196908626,0.669692685467673,0.3422873725723488,7,false,1.4725213168816467,11,0,123,90,-0.8902737591809398,10.180355338902784,0.45,1,true
ETHUSDT,1750589100000,1750594500000,-9.198848334151817,0.5049324625269475,0.20417793026199638,5,false,1.4239435630417294,10,0,126,90,-0.8000105553893885,3.6152994012491115,0.3,0,false
HYPEUSDT,1750593600000,1750596300000,-9.269928079530224,1.172253723888712,0.4436348679378213,1,false,2.5385703065705445,12,0,101,60,0.3028143925899652,1.5326458461869974,0.55,0,true
HYPEUSDT,1750607100000,1750611600000,-11.428478199298642,1.2101872478776383,0.8128123306641071,10,false,3.0292348977266177,15,0,105,95,-1.996429634037487,2.665054421632209,0.55,0,false
XRPUSDT,1750624200000,1750626000000,-8.121859844216724,0.6042914938290475,0.6094126081835418,1,false,1.4476938256561633,20,0,125,95,-1.169740001021603,1.5645004352947351,0.3,0,false
SOLUSDT,1750625100000,1750628700000,-10.02363934384306,0.5236811705814454,0.3003465537158155,7,false,1.794486233971993,20,0,133,98,-0.6374318408724464,14.015012671583083,0.5,1,true
